site_name,site_address,site_city,site_zip,site_state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
PACE Alternative School,201 E Higbee St,Pittsfield,62363-1946,IL,39.600549,-90.806041,1,range_interpolation,201,E Higbee St,,,Pittsfield,IL,Pike County,62363,US,TIGER/Line® dataset from the US Census Bureau
The Lafayette Academy,747 W Lafayette Ave,Jacksonville,62650-1832,IL,39.737652,-90.240497,1,rooftop,747,W Lafayette Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
ARC,747 W Lafayette Ave,Jacksonville,62650-1832,IL,39.737652,-90.240497,1,rooftop,747,W Lafayette Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Adams County RSSP,1416 Maine St,Quincy,62301-4261,IL,39.931569,-91.393066,1,rooftop,1416,Maine St,,,Quincy,IL,Adams County,62301,US,Adams
Seymour Elementary School,404 W State St,Payson,62360-1041,IL,39.818201,-91.248042,1,rooftop,404,W State St,,,Payson,IL,Adams County,62360,US,Adams
Adams County of,507 Vermont St Ste G12,Quincy,62301-2998,IL,39.934934,-91.407676,1,rooftop,507,Vermont St,Ste,G12,Quincy,IL,Adams County,62301,US,Adams
Chaddock,205 S 24th St,Quincy,62301-4446,IL,39.929436,-91.375599,1,rooftop,205,S 24th St,,,Quincy,IL,Adams County,62301,US,Adams
Chaddock-Group Home,205 S 24th St,Quincy,62301-4446,IL,39.929436,-91.375599,1,rooftop,205,S 24th St,,,Quincy,IL,Adams County,62301,US,Adams
Lincoln-Douglas Elementary School,3211 Payson Rd,Quincy,62305-6441,IL,39.897854,-91.363588,1,rooftop,3211,Payson Rd,,,Quincy,IL,Adams County,62305,US,Adams
Quincy Jr High School,100 S 14th St,Quincy,62301-4209,IL,39.931225,-91.394067,1,rooftop,100,S 14th St,,,Quincy,IL,Adams County,62301,US,Adams
Sarah Atwater Denman Elementary School,4100 Harrison Street,Quincy,62305-6030,IL,39.911725,-91.355593,0.87,range_interpolation,4100,Harrison Ct,,,Quincy,IL,Adams County,62305,US,TIGER/Line® dataset from the US Census Bureau
Dr. Abby Fox Rooney Elementary School,4900 Columbus Rd,Quincy,,IL,39.945037,-91.33877,1,rooftop,4900,Columbus Rd,,,Quincy,IL,Adams County,62305,US,Adams
Thomas S Baldwin Elementary School,3000 Maine St,Quincy,62301-4417,IL,39.931046,-91.366933,1,rooftop,3000,Maine St,,,Quincy,IL,Adams County,62301,US,Adams
Colonel George Iles Elementary School,3111 N 12th St,Quincy,,IL,39.969153,-91.396689,1,rooftop,3111,N 12th St,,,Quincy,IL,Adams County,62305,US,Adams
Early Childhood,401 S 8th St,Quincy,62301-4149,IL,39.927614,-91.402773,1,rooftop,401,S 8th St,,,Quincy,IL,Adams County,62301,US,Adams
Brown County Elementary School,501 NW Cross St,Mount Sterling,62353-1149,IL,39.989949,-90.765481,1,range_interpolation,501,NW Cross St,,,Mount Sterling,IL,Brown County,62353,US,TIGER/Line® dataset from the US Census Bureau
Brown County Middle School,504 E Main Street,Mount Sterling,62353-1377,IL,39.983415,-90.75446,1,range_interpolation,504,E Main St,,,Mount Sterling,IL,Brown County,62353,US,TIGER/Line® dataset from the US Census Bureau
Beardstown Jr/Sr High School,500 E 15th St,Beardstown,62618-2052,IL,40.008224,-90.422724,1,range_interpolation,500,E 15th St,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Gard Elementary School,400 E 15th St,Beardstown,62618-2054,IL,40.007803,-90.423655,1,range_interpolation,400,E 15th St,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Grand Ave Sch,1301 Grand Ave,Beardstown,62618-8092,IL,40.00536,-90.436871,1,range_interpolation,1301,Grand Ave,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Virginia Jr/ Sr High School,651 S Morgan St,Virginia,62691-1547,IL,39.946809,-90.217039,1,range_interpolation,651,S Morgan St,,,Virginia,IL,Cass County,62691,US,TIGER/Line® dataset from the US Census Bureau
A-C Central Elementary School,191 S Bluff St,Chandlerville,62627-9128,IL,40.048524,-90.147781,0.9,range_interpolation,191,N Bluff St,,,Chandlerville,IL,Cass County,62627,US,TIGER/Line® dataset from the US Census Bureau
Meredosia-Chambersburg High Sch,830 Main St,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Meredosia-Chambersburg Jr High,830 Main St,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Meredosia-Chambersburg Elem Sch,830 Main Street,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Jacksonville Middle School,664 Lincoln Ave,Jacksonville,62650-2384,IL,39.725139,-90.2475,1,rooftop,664,Lincoln Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
South Jacksonville Elem School,1700 S West St,South Jacksonville,62650-3279,IL,39.710303,-90.231569,0.9,range_interpolation,1700,Southwest St,,,Jacksonville,IL,Morgan County,62650,US,TIGER/Line® dataset from the US Census Bureau
Crossroad Learning Center,30 N Central Park Plz,Jacksonville,62650-2024,IL,39.734985,-90.229723,1,rooftop,30,N Central Park Plz,,,Jacksonville,IL,Morgan County,62650,US,Morgan
North Jacksonville School,1626 State Highway 78 N,Jacksonville,62650-6228,IL,39.759349,-90.228528,1,rooftop,1626,State Highway 78 N,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Murrayville-Woodson Elem School,PO Box 170,Murrayville,62668-0170,IL,39.5856,-90.25206,0.33,place,170,PO Box,,,Murrayville,IL,Morgan County,62668,US,TIGER/Line® dataset from the US Census Bureau
The Early Years,516 Jordan St,Jacksonville,62650-1997,IL,39.735761,-90.235899,1,rooftop,516,Jordan St,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Washington Elem School,524 S Kosciusko St,Jacksonville,62650-2865,IL,39.729876,-90.235881,1,rooftop,524,S Kosciusko St,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Lincoln Elem School,320 W Independence Ave,Jacksonville,62650-1350,IL,39.74194,-90.232309,1,rooftop,320,W Independence Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Ivan K Garrison Center,936 W Michigan Ave,Jacksonville,62650-3113,IL,39.716553,-90.242895,1,rooftop,936,W Michigan Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Pleasant Hill High School,PO Box 277,Pleasant Hill,62366-0277,IL,39.447008,-90.87168,0.33,place,277,PO Box,,,Pleasant Hill,IL,Pike County,62366,US,TIGER/Line® dataset from the US Census Bureau
Pleasant Hill Elem School,PO Box 277,Pleasant Hill,62366-0277,IL,39.447008,-90.87168,0.33,place,277,PO Box,,,Pleasant Hill,IL,Pike County,62366,US,TIGER/Line® dataset from the US Census Bureau
Griggsville-Perry High School,PO Box 439,Griggsville,62340-0439,IL,39.741573,-90.749386,0.33,place,439,PO Box,,,Griggsville,IL,Pike County,62340,US,TIGER/Line® dataset from the US Census Bureau
Griggsville-Perry Primary School,PO Box 439,Griggsville,62340-0439,IL,39.741573,-90.749386,0.33,place,439,PO Box,,,Griggsville,IL,Pike County,62340,US,TIGER/Line® dataset from the US Census Bureau
Griggsville-Perry Middle School,PO Box 98,Perry,62362-0098,IL,39.78247,-90.747978,0.33,place,98,PO Box,,,Perry,IL,Pike County,62362,US,TIGER/Line® dataset from the US Census Bureau
Pittsfield South Elem School,655 Clarksville Rd,Pittsfield,62363-1801,IL,39.598621,-90.809559,1,range_interpolation,655,Clarksville Rd,,,Pittsfield,IL,Pike County,62363,US,TIGER/Line® dataset from the US Census Bureau
Western High School,401 McDonough St,Barry,62312-1031,IL,39.696139,-91.044899,1,range_interpolation,401,McDonough St,,,Barry,IL,Pike County,62312,US,TIGER/Line® dataset from the US Census Bureau
Western Barry Elem,401 McDonough St,Barry,62312-1031,IL,39.696139,-91.044899,1,range_interpolation,401,McDonough St,,,Barry,IL,Pike County,62312,US,TIGER/Line® dataset from the US Census Bureau
Western Jr High School,PO Box 189,Kinderhook,62345-0189,IL,39.70227,-91.1532,0.33,place,189,PO Box,,,Kinderhook,IL,Pike County,62345,US,TIGER/Line® dataset from the US Census Bureau
Bluffs High School,100 W Rockwood St,Bluffs,62621-8114,IL,39.753513,-90.537005,1,range_interpolation,100,W Rockwood St,,,Bluffs,IL,Scott County,62621,US,TIGER/Line® dataset from the US Census Bureau
Bluffs Junior High School,PO Box 230,Bluffs,62621-0230,IL,39.729634,-90.531307,0.33,place,230,PO Box,,,Bluffs,IL,Scott County,62621,US,TIGER/Line® dataset from the US Census Bureau
Bluffs Elementary School,PO Box 230,Bluffs,62621-0230,IL,39.729634,-90.531307,0.33,place,230,PO Box,,,Bluffs,IL,Scott County,62621,US,TIGER/Line® dataset from the US Census Bureau
Revive Alternative High School,113 N School St,Raymond,,IL,39.324491,-89.572909,1,range_interpolation,113,N School St,,,Raymond,IL,Montgomery County,62560,US,TIGER/Line® dataset from the US Census Bureau
New Approach Alternative High Sch,1500 W Jefferson St,Vandalia,62471-1510,IL,38.966496,-89.110598,1,range_interpolation,1500,W Jefferson St,,,Vandalia,IL,Fayette County,62471,US,TIGER/Line® dataset from the US Census Bureau
Aspire Alternative High School,900 W Edgar Ave,Effingham,62401-1933,IL,39.119185,-88.552796,1,range_interpolation,900,W Edgar Ave,,,Effingham,IL,Effingham County,62401,US,TIGER/Line® dataset from the US Census Bureau
Tristar Acad Safe Sch Program,900 W Edgar Ave,Effingham,62401-1933,IL,39.119185,-88.552796,1,range_interpolation,900,W Edgar Ave,,,Effingham,IL,Effingham County,62401,US,TIGER/Line® dataset from the US Census Bureau
FOCUS Safe Sch Program,1500 W Jefferson St,Vandalia,62471-1510,IL,38.966496,-89.110598,1,range_interpolation,1500,W Jefferson St,,,Vandalia,IL,Fayette County,62471,US,TIGER/Line® dataset from the US Census Bureau
Phoenix Safe Schools Program,113 N School St,Raymond,,IL,39.324491,-89.572909,1,range_interpolation,113,N School St,,,Raymond,IL,Montgomery County,62560,US,TIGER/Line® dataset from the US Census Bureau
Mulberry Grove Elem School,801 W Wall St,Mulberry Grove,62262-1049,IL,38.923561,-89.279588,1,range_interpolation,801,W Wall St,,,Mulberry Grove,IL,Bond County,62262,US,TIGER/Line® dataset from the US Census Bureau
Sorento Elem School,510 S Main St,Sorento,62086-3017,IL,38.994996,-89.573334,1,range_interpolation,510,S Main St,,,Sorento,IL,Bond County,62086,US,TIGER/Line® dataset from the US Census Bureau
Greenville Elem School,800 N Dewey St,Greenville,62246-1383,IL,38.897162,-89.397116,1,range_interpolation,800,N Dewey St,,,Greenville,IL,Bond County,62246,US,TIGER/Line® dataset from the US Census Bureau
Morrisonville Jr High School,PO Box 13,Morrisonville,62546-0013,IL,39.42005,-89.45565,0.33,place,13,PO Box,,,Morrisonville,IL,Christian County,62546,US,TIGER/Line® dataset from the US Census Bureau
Kemmerer Village,941 N 2500 East Rd,Assumption,62510-8026,IL,39.485506,-89.063654,0.7,rooftop,941,N 2500 East Rd~assumption,,,Pana,IL,Christian County,62557,US,Christian
Taylorville Jr High School,120 E Bidwell St,Taylorville,62568-1358,IL,39.557596,-89.294555,1,rooftop,120,E Bidwell St~,,,Taylorville,IL,Christian County,62568,US,Christian
Memorial Elem School,101 E Adams St,Taylorville,62568-2201,IL,39.546584,-89.294888,1,range_interpolation,101,E Adams St,,,Taylorville,IL,Christian County,62568,US,TIGER/Line® dataset from the US Census Bureau
North Elem School,805 N Cherokee St,Taylorville,62568-1450,IL,39.557313,-89.290627,1,range_interpolation,805,N Cherokee St,,,Taylorville,IL,Christian County,62568,US,TIGER/Line® dataset from the US Census Bureau
Pana Sr High School,PO Box 377,Pana,62557-0377,IL,39.38893,-89.08008,0.33,place,377,PO Box,,,Pana,IL,Christian County,62557,US,TIGER/Line® dataset from the US Census Bureau
Washington Elem School,PO Box 377,Pana,62557-0377,IL,39.38893,-89.08008,0.33,place,377,PO Box,,,Pana,IL,Christian County,62557,US,TIGER/Line® dataset from the US Census Bureau
Pana Jr High School,PO Box 377,Pana,62557-0377,IL,39.38893,-89.08008,0.33,place,377,PO Box,,,Pana,IL,Christian County,62557,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Elem School,PO Box 377,Pana,62557-0377,IL,39.38893,-89.08008,0.33,place,377,PO Box,,,Pana,IL,Christian County,62557,US,TIGER/Line® dataset from the US Census Bureau
South Fork Jr Sr High School,PO Box 20,Kincaid,62540-4457,IL,39.58866,-89.41454,0.33,place,20,PO Box,,,Kincaid,IL,Christian County,62540,US,TIGER/Line® dataset from the US Census Bureau
South Fork Elementary School,PO Box 20,Kincaid,62540-4532,IL,39.58866,-89.41454,0.33,place,20,PO Box,,,Kincaid,IL,Christian County,62540,US,TIGER/Line® dataset from the US Census Bureau
Altamont Grade School,407 S Edwards St,Altamont,62411-1701,IL,39.054499,-88.744397,1,rooftop,407,S Edwards St,,,Altamont,IL,Effingham County,62411,US,Effingham
Early Learning Center,3224 S Banker St,Effingham,62401-2910,IL,39.08018,-88.546256,1,rooftop,3224,S Banker St,,,Effingham,IL,Effingham County,62401,US,Effingham
Central Grade School,3901 S Banker St.,Effingham,62401-5405,IL,39.107766,-88.5468,0.6,street_center,,S Banker St,,,Effingham,IL,Effingham County,62401,US,TIGER/Line® dataset from the US Census Bureau
South Side Grade School,211 W Douglas Ave,Effingham,62401-2720,IL,39.111449,-88.544345,1,rooftop,211,W Douglas Ave,,,Effingham,IL,Effingham County,62401,US,Effingham
Brownstown Jr High School,421 S College Ave,Brownstown,62418-1129,IL,38.992327,-88.955978,1,range_interpolation,421,S College Ave,,,Brownstown,IL,Fayette County,62418,US,TIGER/Line® dataset from the US Census Bureau
Brownstown Elem School,460 W South St,Brownstown,62418-1120,IL,38.992628,-88.959646,1,range_interpolation,460,W South St,,,Brownstown,IL,Fayette County,62418,US,TIGER/Line® dataset from the US Census Bureau
Brownstown High School,421 S College Ave,Brownstown,62418-1129,IL,38.992327,-88.955978,1,range_interpolation,421,S College Ave,,,Brownstown,IL,Fayette County,62418,US,TIGER/Line® dataset from the US Census Bureau
St Elmo Sr High School,300 W 12th St,Saint Elmo,62458-1324,IL,39.03499,-88.851424,1,range_interpolation,300,12th St,,,Saint Elmo,IL,Fayette County,62458,US,TIGER/Line® dataset from the US Census Bureau
St Elmo Jr High School,300 W 12th St,Saint Elmo,62458-1324,IL,39.03499,-88.851424,1,range_interpolation,300,12th St,,,Saint Elmo,IL,Fayette County,62458,US,TIGER/Line® dataset from the US Census Bureau
St Elmo Elem School,519 W 2nd St,Saint Elmo,62458-1153,IL,39.025141,-88.854974,1,range_interpolation,519,W 2nd St,,,Saint Elmo,IL,Fayette County,62458,US,TIGER/Line® dataset from the US Census Bureau
Vandalia Junior High School,1011 W Fletcher St,Vandalia,62471-1007,IL,38.975018,-89.102147,1,range_interpolation,1011,W Fletcher St,,,Vandalia,IL,Fayette County,62471,US,TIGER/Line® dataset from the US Census Bureau
Vandalia Elementary School,1017 W Fletcher St,Vandalia,62471-1007,IL,38.975018,-89.102058,1,range_interpolation,1017,W Fletcher St,,,Vandalia,IL,Fayette County,62471,US,TIGER/Line® dataset from the US Census Bureau
Ramsey High School,702 W 6th St,Ramsey,62080-0010,IL,39.139883,-89.11608,0.6,street_center,,W 6th St,,,Ramsey,IL,Fayette County,62080,US,TIGER/Line® dataset from the US Census Bureau
Ramsey Elem School,516 W 6th St,Ramsey,62080-0030,IL,39.521653,-89.057703,0.6,rooftop,516,W 1st St~,,,Assumption,IL,Christian County,62510,US,Christian
Raymond Grade School,505 N Prairie St,Raymond,62560-4906,IL,39.325005,-89.571762,0.9,range_interpolation,505,Prairie St,,,Raymond,IL,Montgomery County,62560,US,TIGER/Line® dataset from the US Census Bureau
Lincolnwood Jr High School,507 N Prairie St,Raymond,62560-4906,IL,39.325019,-89.571749,0.9,range_interpolation,507,Prairie St,,,Raymond,IL,Montgomery County,62560,US,TIGER/Line® dataset from the US Census Bureau
Beckemeyer Elem School,1035 Seymour Ave,Hillsboro,62049-1060,IL,39.151077,-89.501272,1,range_interpolation,1035,Seymour Ave,,,Hillsboro,IL,Montgomery County,62049,US,TIGER/Line® dataset from the US Census Bureau
Coffeen Elem School,200 School St,Coffeen,62017-1235,IL,39.09264,-89.384936,0.6,street_center,,School St,,,Coffeen,IL,Montgomery County,62017,US,TIGER/Line® dataset from the US Census Bureau
Regional Learning Academy Star Boone,1320 East Ave,Belvidere,,IL,42.24717,-88.829539,1,rooftop,1320,East Ave,,,Belvidere,IL,Boone County,61008,US,Boone
Reg'l Learning Academy Star Winn,5949 Safford Rd,Rockford,61101-2276,IL,42.302669,-89.153748,1,range_interpolation,5949,Safford Rd,,,Rockford,IL,Winnebago County,61101,US,TIGER/Line® dataset from the US Census Bureau
Meehan Elementary School,1401 E 6th St,Belvidere,61008-6503,IL,42.248083,-88.82423,1,range_interpolation,1401,E 6th St,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
Belvidere High School,1500 East Ave,Belvidere,61008-4563,IL,42.244647,-88.82961,1,rooftop,1500,East Ave,,,Belvidere,IL,Boone County,61008,US,Boone
Lincoln Elem School,1011 Bonus Ave,Belvidere,61008-2343,IL,42.27671,-88.831624,1,range_interpolation,1011,Bonus Ave,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
Belvidere South Middle School,919 E 6th St,Belvidere,61008-4500,IL,42.247723,-88.829595,1,range_interpolation,919,E 6th St,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
Washington Academy,1031 5th Ave,Belvidere,61008-5139,IL,42.250343,-88.848072,1,rooftop,1031,5th Ave,,,Belvidere,IL,Boone County,61008,US,Boone
Perry Elem School,633 W Perry St,Belvidere,61008-3153,IL,42.259483,-88.853092,1,range_interpolation,633,W Perry St,,,Belvidere,IL,Boone County,61008,US,TIGER/Line® dataset from the US Census Bureau
Capron Elem School,200 N Wooster St,Capron,61012-9550,IL,42.400915,-88.747722,1,rooftop,200,N Wooster St,,,Capron,IL,Boone County,61012,US,Boone
County of Winnebago,404 Elm St Rm 533,Rockford,61101-1239,IL,42.271066,-89.097172,1,rooftop,404,Elm St,Ste,533,Rockford,IL,Winnebago County,61101,US,Winnebago
Madison Group Home,4450 N Rockton Ave,Rockford,61103-1526,IL,42.324045,-89.099391,1,rooftop,4450,N Rockton Ave,,,Rockford,IL,Winnebago County,61103,US,Winnebago
Adams Group Home,4450 N Rockton Ave,Rockford,61103-1526,IL,42.324045,-89.099391,1,rooftop,4450,N Rockton Ave,,,Rockford,IL,Winnebago County,61103,US,Winnebago
Jefferson Group Home,4450 N Rockton Ave,Rockford,61103-1526,IL,42.324045,-89.099391,1,rooftop,4450,N Rockton Ave,,,Rockford,IL,Winnebago County,61103,US,Winnebago
Harlem High School,9229 N Alpine Rd,Machesney Park,61115-1924,IL,42.357432,-89.026287,1,rooftop,9229,N Alpine Rd,,,Machesney Park,IL,Winnebago County,61115,US,Winnebago
Machesney Elem School,8615 N 2nd St,Machesney Park,61115-2003,IL,42.348374,-89.049554,1,range_interpolation,8615,N 2nd St,,,Machesney Park,IL,Winnebago County,61115,US,TIGER/Line® dataset from the US Census Bureau
Harlem Middle School,735 Windsor Rd,Loves Park,61111-4152,IL,42.324313,-89.051338,1,rooftop,735,Windsor Rd,,,Loves Park,IL,Winnebago County,61111,US,Winnebago
Rock Cut Elem School,7944 Forest Hills Rd,Loves Park,61111-3312,IL,42.339396,-89.0183,1,range_interpolation,7944,Forest Hills Rd,,,Loves Park,IL,Winnebago County,61111,US,TIGER/Line® dataset from the US Census Bureau
Marquette Elem School,8500 Victory Ln,Machesney Park,61115-2381,IL,42.34565,-89.058394,1,range_interpolation,8500,Victory Ln,,,Machesney Park,IL,Winnebago County,61115,US,TIGER/Line® dataset from the US Census Bureau
Donald C Parker Early Educ Center,808 Harlem Rd,Machesney Park,61115-2514,IL,42.339753,-89.048784,1,range_interpolation,808,Harlem Rd,,,Machesney Park,IL,Winnebago County,61115,US,TIGER/Line® dataset from the US Census Bureau
Maple Elem School,1405 Maple Ave,Loves Park,61111-3006,IL,42.335322,-89.036882,1,rooftop,1405,Maple Ave,,,Loves Park,IL,Winnebago County,61111,US,Winnebago
Windsor Elem School,935 Windsor Rd,Loves Park,61111-4228,IL,42.324315,-89.047609,1,rooftop,935,Windsor Rd,,,Loves Park,IL,Winnebago County,61111,US,Winnebago
Loves Park Elem School,344 Grand Ave,Loves Park,61111-4511,IL,42.313196,-89.060636,1,rooftop,344,Grand Ave,,,Loves Park,IL,Winnebago County,61111,US,Winnebago
Montessori Elementary School,2021 Hawthorne Dr,Rockford,61107-1342,IL,42.289969,-89.035626,1,rooftop,2021,Hawthorne Dr,,,Rockford,IL,Winnebago County,61107,US,Winnebago
Spring Creek Elem School,5222 Spring Creek Rd,Rockford,61114-6330,IL,42.298175,-89.015086,1,rooftop,5222,Spring Creek Rd,,,Rockford,IL,Winnebago County,61114,US,Winnebago
Brookview Elem School,1750 Madron Rd,Rockford,61107-2459,IL,42.288226,-89.015246,1,rooftop,1750,Madron Rd,,,Rockford,IL,Winnebago County,61107,US,Winnebago
Guilford High School,5620 Spring Creek Rd,Rockford,61114-6442,IL,42.299443,-89.006833,1,rooftop,5620,Spring Creek Rd,,,Rockford,IL,Winnebago County,61114,US,Winnebago
Cherry Valley Elementary School,6754 Armer Dr,Rockford,,IL,42.33342,-89.157198,0.33,place,,,,,Rockford,IL,Winnebago County,61101,US,TIGER/Line® dataset from the US Census Bureau
Eisenhower Middle School,3525 Spring Creek Rd,Rockford,61107-1151,IL,42.291012,-89.040059,1,rooftop,3525,Spring Creek Rd,,,Rockford,IL,Winnebago County,61107,US,Winnebago
Arthur Froberg Elem School,4555 20th St,Rockford,61109-3135,IL,42.215689,-89.05901,1,rooftop,4555,20th St,,,Rockford,IL,Winnebago County,61109,US,Winnebago
Auburn High School,5110 Auburn St,Rockford,61101-2402,IL,42.284548,-89.137949,1,rooftop,5110,Auburn St,,,Rockford,IL,Winnebago County,61101,US,Winnebago
Maud E Johnson Elem School,3805 Rural St,Rockford,61107-3555,IL,42.273594,-89.0378,1,rooftop,3805,Rural St,,,Rockford,IL,Winnebago County,61107,US,Winnebago
Fairview Early Childhood Center,512 Fairview Ave,Rockford,61108-1910,IL,42.261127,-89.041231,1,rooftop,512,Fairview Ave,,,Rockford,IL,Winnebago County,61108,US,Winnebago
Rockford East High School,2929 Charles St,Rockford,61108-1702,IL,42.256466,-89.049868,1,rooftop,2929,Charles St,,,Rockford,IL,Winnebago County,61108,US,Winnebago
Haskell Elementary School,515 Maple St,Rockford,61103-6711,IL,42.280578,-89.09394,1,range_interpolation,515,Maple St,,,Rockford,IL,Winnebago County,61103,US,TIGER/Line® dataset from the US Census Bureau
Conklin Elem School,3003 Halsted Rd,Rockford,61101-2705,IL,42.31112,-89.104069,1,rooftop,3003,Halsted Rd,,,Rockford,IL,Winnebago County,61101,US,Winnebago
Clifford P Carlson Elem School,4015 Pepper Dr,Rockford,61114-5280,IL,42.30618,-89.038402,1,rooftop,4015,Pepper Dr,,,Rockford,IL,Winnebago County,61114,US,Winnebago
McIntosh Elementary,525 N Pierpont Ave,Rockford,61101-5036,IL,42.283675,-89.134245,1,rooftop,525,N Pierpont Ave,,,Rockford,IL,Winnebago County,61101,US,Winnebago
Gregory Elem School,4820 Carol Ct,Rockford,61108-4175,IL,42.259272,-89.014896,1,rooftop,4820,Carol Ct,,,Rockford,IL,Winnebago County,61108,US,Winnebago
Lewis Lemon Elementary,1993 Mulberry St,Rockford,61101-5670,IL,42.277574,-89.119221,1,range_interpolation,1993,Mulberry St,,,Rockford,IL,Winnebago County,61101,US,TIGER/Line® dataset from the US Census Bureau
C Henry Bloom Elem School,2912 Brendenwood Rd,Rockford,61107-1907,IL,42.28129,-89.049761,1,rooftop,2912,Brendenwood Rd,,,Rockford,IL,Winnebago County,61107,US,Winnebago
Julia Lathrop Elem School,2603 Clover Ave,Rockford,61102-3471,IL,42.247751,-89.114629,1,range_interpolation,2603,Clover Ave,,,Rockford,IL,Winnebago County,61102,US,TIGER/Line® dataset from the US Census Bureau
Ellis Elementary School,222 S Central Ave,Rockford,61102-2011,IL,42.274545,-89.115852,1,rooftop,222,S Central Ave,,,Rockford,IL,Winnebago County,61102,US,Winnebago
R K Welsh Elem School,2100 Huffman Blvd,Rockford,61103-3946,IL,42.295251,-89.088831,1,rooftop,2100,Huffman Blvd,,,Rockford,IL,Winnebago County,61103,US,Winnebago
West View Elem School,1720 Halsted Rd,Rockford,61103-3067,IL,42.308913,-89.086335,1,rooftop,1720,Halsted Rd,,,Rockford,IL,Winnebago County,61103,US,Winnebago
Washington Elementary School,1421 West St,Rockford,61102-3232,IL,42.257412,-89.106808,1,range_interpolation,1421,W St,,,Rockford,IL,Winnebago County,61102,US,TIGER/Line® dataset from the US Census Bureau
Rolling Green,3615 W Gate Pkwy,Rockford,61108-6162,IL,42.247283,-89.03921,1,range_interpolation,3615,W Gate Pkwy,,,Rockford,IL,Winnebago County,61108,US,TIGER/Line® dataset from the US Census Bureau
Kennedy Middle School,520 N Pierpont Ave,Rockford,61101-5037,IL,42.281145,-89.135625,1,range_interpolation,520,N Pierpont Ave,,,Rockford,IL,Winnebago County,61101,US,TIGER/Line® dataset from the US Census Bureau
Constance Lane Elementary School,620 Gregory St,Rockford,61104-4636,IL,42.258597,-89.087247,1,rooftop,620,Gregory St,,,Rockford,IL,Winnebago County,61104,US,Winnebago
Beyer Elem School,333 15th Ave,Rockford,61104-5101,IL,42.250117,-89.093413,1,rooftop,333,15th Ave,,,Rockford,IL,Winnebago County,61104,US,Winnebago
Wm Nashold Early Childhood Center,3303 20th St,Rockford,61109-2312,IL,42.22506,-89.05885,1,rooftop,3303,20th St,,,Rockford,IL,Winnebago County,61109,US,Winnebago
Summerdale Elem School,3320 Glenwood Ave,Rockford,61101-3468,IL,42.300174,-89.105223,1,rooftop,3320,Glenwood Ave,,,Rockford,IL,Winnebago County,61101,US,Winnebago
Swan Hillman Elem School,3701 Green Dale Dr,Rockford,61109-1543,IL,42.234205,-89.037957,1,range_interpolation,3701,Green Dale Dr,,,Rockford,IL,Winnebago County,61109,US,TIGER/Line® dataset from the US Census Bureau
Whitehead Elem School,2325 Ohio Pkwy,Rockford,61108-7514,IL,42.24246,-89.04697,1,range_interpolation,2325,Ohio Pkwy,,,Rockford,IL,Winnebago County,61108,US,TIGER/Line® dataset from the US Census Bureau
Abraham Lincoln Middle School,1500 Charles St,Rockford,61104-2310,IL,42.264515,-89.071019,1,rooftop,1500,Charles St,,,Rockford,IL,Winnebago County,61104,US,Winnebago
Roosevelt Center,978 Haskell Ave,Rockford,61103-6046,IL,42.283089,-89.093118,1,rooftop,978,Haskell Ave,,,Rockford,IL,Winnebago County,61103,US,Winnebago
Riverdahl Elem School,3520 Kishwaukee St,Rockford,61109-2005,IL,42.221571,-89.084539,1,rooftop,3520,Kishwaukee St,,,Rockford,IL,Winnebago County,61109,US,Winnebago
Barbour Two-Way Lang Immersion,1506 Clover Ave,Rockford,61102-3100,IL,42.257431,-89.114826,1,range_interpolation,1506,Clover Ave,,,Rockford,IL,Winnebago County,61102,US,TIGER/Line® dataset from the US Census Bureau
Bernard W Flinn Middle School,2525 Ohio Pkwy,Rockford,61108-7517,IL,42.239619,-89.049341,1,rooftop,2525,Ohio Pkwy,,,Rockford,IL,Winnebago County,61108,US,Winnebago
