"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"16","DHS Family Community Resource Center in Cook County - Roseland","11203 S Ellis Ave","Chicago","IL"," 60628",41.690621,-87.604325,"Family Community Resource Center"
"17","DHS Family Community Resource Center in Cook County - South Loop","1112 South Wabash Avenue","Chicago","IL"," 60605",41.868794,-87.626356,"Family Community Resource Center"
"18","DHS Family Community Resource Center in Cook County - South Suburban","3301 Wireton Rd","Blue Island","IL"," 60406",41.66067,-87.701723,"Family Community Resource Center"
"19","DHS Family Community Resource Center in Cook County - Southeast","8001 S Cottage Grove Ave","Chicago","IL"," 60619",41.749325,-87.604776,"Family Community Resource Center"
"20","DHS Family Community Resource Center in Cook County - Stroger - Temporarily Closed","1701 S. First Avenue, Suite 100 & 200","Maywood","IL"," 60153",41.87214,-87.832694,"Family Community Resource Center"
"21","DHS Family Community Resource Center in Cook County - West Suburban","2701 West Lake Street","Melrose Park","IL"," 60160",41.895797,-87.866853,"Family Community Resource Center"
"22","DHS Family Community Resource Center in Cook County - Woodlawn - Temporarily Closed","915 E 63rd St","Chicago","IL"," 60637",41.780227,-87.602524,"Family Community Resource Center"
"23","DHS Family Community Resource Center in Crawford County","1110 North Allen Street","Robinson","IL"," 62454",39.014394,-87.748832,"Family Community Resource Center"
"24","DHS Family Community Resource Center in DeKalb County","1629 Afton Road","Sycamore","IL"," 60178",41.97119,-88.702453,"Family Community Resource Center"
"25","DHS Family Community Resource Center in DuPage County","1717 Park St, Suite 105","Naperville","IL"," 60563",41.798577,-88.149551,"Family Community Resource Center"
"26","DHS Family Community Resource Center in Franklin County","1602 North Main Street","Benton","IL"," 62812",38.01492,-88.920589,"Family Community Resource Center"
"27","DHS Family Community Resource Center in Fulton County","1329 North Main Street","Lewistown","IL"," 61542",40.405546,-90.155043,"Family Community Resource Center"
"28","DHS Family Community Resource Center in Henry County","150 West South Street","Kewanee","IL"," 61443",41.222631,-89.92841,"Family Community Resource Center"
"29","DHS Family Community Resource Center in Jackson County","342 North St","Murphysboro","IL"," 62966",37.765427,-89.327237,"Family Community Resource Center"
"30","DHS Family Community Resource Center in Jefferson County","333 Potomac Boulevard, Suite F","Mount Vernon","IL"," 62864",38.31834,-88.955953,"Family Community Resource Center"
"31","DHS Family Community Resource Center in Jersey County","110 North Jefferson Street","Jerseyville","IL"," 62052",39.119845,-90.326564,"Family Community Resource Center"
"32","DHS Family Community Resource Center in Kane County/Aurora","361 W Old Indian Trail","Aurora","IL"," 60506",41.780812,-88.320382,"Family Community Resource Center"
"33","DHS Family Community Resource Center in Kane County/Elgin","700 S State St","Elgin","IL"," 60123",42.018317,-88.289582,"Family Community Resource Center"
"34","DHS Family Community Resource Center in Kankakee County","285 N Schuyler Ave","Kankakee","IL"," 60901",41.122781,-87.863706,"Family Community Resource Center"
"35","DHS Family Community Resource Center in Knox County","477 East Main Street, Suite 100","Galesburg","IL"," 61401",40.947582,-90.363203,"Family Community Resource Center"
"36","DHS Family Community Resource Center in Lake County","2000 N Lewis Ave","Waukegan","IL"," 60087",42.388184,-87.855855,"Family Community Resource Center"
"37","DHS Family Community Resource Center in LaSalle County","1560 First Avenue","Ottawa","IL"," 61350",41.323522,-88.836788,"Family Community Resource Center"
"38","DHS Family Community Resource Center in Logan County","1550 4th Street","Lincoln","IL"," 62656",40.146198,-89.3856,"Family Community Resource Center"
"39","DHS Family Community Resource Center in Macon County","707 E Wood St","Decatur","IL"," 62523",39.839992,-88.947105,"Family Community Resource Center"
"40","DHS Family Community Resource Center in Macoupin County","340 E. Wilson","Carlinville","IL"," 62626",39.293485,-89.877147,"Family Community Resource Center"
"41","DHS Family Community Resource Center in Madison County/East Alton","608 W St Louis Ave","East Alton","IL"," 62024",38.88033,-90.11122,"Family Community Resource Center"
"42","DHS Family Community Resource Center in Madison County/Granite City","1925 Madison Avenue","Granite City","IL"," 62040",38.698767,-90.147946,"Family Community Resource Center"
"43","DHS Family Community Resource Center in Marion County","800 S Locust St","Centralia","IL"," 62801",38.517998,-89.137141,"Family Community Resource Center"
"44","DHS Family Community Resource Center in Mason County","323 West Main Street","Havana","IL"," 62644",40.299942,-90.064882,"Family Community Resource Center"
"45","DHS Family Community Resource Center in Massac County","2301 Metropolis Street","Metropolis","IL"," 62960",37.169532,-88.725072,"Family Community Resource Center"
"46","DHS Family Community Resource Center in McDonough County","640 Sherman Dr, Suite 309, 3rd Floor/Seal Hall","Macomb","IL"," 61455",40.465693,-90.684515,"Family Community Resource Center"
"47","DHS Family Community Resource Center in McHenry County","512 Clay Street","Woodstock","IL"," 60098",42.319254,-88.446485,"Family Community Resource Center"
"48","DHS Family Community Resource Center in McLean County","501 West Washington Street","Bloomington","IL"," 61701",40.480103,-88.997831,"Family Community Resource Center"
"49","DHS Family Community Resource Center in Mid-Illinois","1550 Douglas St","Charleston","IL"," 61920",39.484718,-88.196051,"Family Community Resource Center"
"50","DHS Family Community Resource Center in Montgomery County","210 E Fairground Ave","Hillsboro","IL"," 62049",39.151433,-89.494275,"Family Community Resource Center"
"51","DHS Family Community Resource Center in Morgan County","45 S Central Park Plaza","Jacksonville","IL"," 62650",39.733396,-90.228686,"Family Community Resource Center"
"52","DHS Family Community Resource Center in Ogle County","1001 Pines Rd","Oregon","IL"," 61061",42.004462,-89.342279,"Family Community Resource Center"
"53","DHS Family Community Resource Center in Peoria County","211 Fulton Street, Suite 300","Peoria","IL"," 61602",40.689984,-89.590525,"Family Community Resource Center"
"54","DHS Family Community Resource Center in Pulaski County","422 S Blanche St","Mounds","IL"," 62964",37.107921,-89.198402,"Family Community Resource Center"
"55","DHS Family Community Resource Center in Randolph County","870 Lehmen Drive","Chester","IL"," 62233",37.922091,-89.834592,"Family Community Resource Center"
"56","DHS Family Community Resource Center in Richland County","1406 Martin St","Olney","IL"," 62450",38.713683,-88.089963,"Family Community Resource Center"
"57","DHS Family Community Resource Center in Rock Island County","500 42nd St, 2nd Floor","Rock Island","IL"," 61201",41.507251,-90.542722,"Family Community Resource Center"
"58","DHS Family Community Resource Center in Saline County","320 Raymond Street","Harrisburg","IL"," 62946",37.733268,-88.536471,"Family Community Resource Center"
"59","DHS Family Community Resource Center in Sangamon County","600 E Ash St, Building 500, 1st Floor","Springfield","IL"," 62703",39.779074,-89.648466,"Family Community Resource Center"
"60","DHS Family Community Resource Center in St Clair/East St Louis","225 N 9th St","East St Louis","IL"," 62201",38.623618,-90.155035,"Family Community Resource Center"
"61","DHS Family Community Resource Center in Stephenson County","1840 S West Ave","Freeport","IL"," 61032",42.279671,-89.63176,"Family Community Resource Center"
"62","DHS Family Community Resource Center in Tazewell County","200 South 2nd Street, Suite 20","Pekin","IL"," 61554",40.568104,-89.653319,"Family Community Resource Center"
"63","DHS Family Community Resource Center in Union County","1000 North Main Street","Anna","IL"," 62906",37.475863,-89.244874,"Family Community Resource Center"
"64","DHS Family Community Resource Center in Vermilion County","220 South Bowman Avenue","Danville","IL"," 61832",40.123578,-87.611824,"Family Community Resource Center"
"65","DHS Family Community Resource Center in Wabash County","2517 West 9th Street, Suite A","Mount Carmel","IL"," 62863",38.412134,-87.775268,"Family Community Resource Center"
"66","DHS Family Community Resource Center in Warren County","1245 South Main Street","Monmouth","IL"," 61462",40.897552,-90.648185,"Family Community Resource Center"
"67","DHS Family Community Resource Center in Whiteside County","2605 Woodlawn Road","Sterling","IL"," 61081",41.800655,-89.665413,"Family Community Resource Center"
"68","DHS Family Community Resource Center in Will County","45 E Webster St","Joliet","IL"," 60432",41.528928,-88.080679,"Family Community Resource Center"
"69","DHS Family Community Resource Center in Williamson County","1107 West Deyoung Street, Suite 20","Marion","IL"," 62959",37.740588,-88.937609,"Family Community Resource Center"
"70","DHS Family Community Resource Center in Winnebago County","171 Executive Pkwy, Suite 101","Rockford","IL"," 61107",42.270137,-88.999186,"Family Community Resource Center"
"71","DHS Medical Field Operations Central - Temporarily Closed","1642 W 59th St","Chicago","IL"," 60636",41.787045,-87.666164,"Family Community Resource Center"
"72","DHS Medical Field Operations Downstate - Temporarily Closed","707 E Wood St","Decatur","IL"," 62523",39.839992,-88.947105,"Family Community Resource Center"
"73","DHS Medical Field Operations North - Temporarily Closed","1112 S Wabash Ave, 4th Floor","Chicago","IL"," 60605",41.868794,-87.626356,"Family Community Resource Center"
"74","DHS Medical Management Unit - Temporarily Closed","527 S Wells St","Chicago","IL"," 60607",41.875208,-87.633334,"Family Community Resource Center"
"75","MID LAKES MEDICAL AND DENTAL BUILDING","224 W Clarendon Dr","Round Lake Beach","IL","60073-1896",42.37096257,-88.08896132,"Federally Qualified Health Center"
"76","The Burnham at Woodlawn Park","6134 S Cottage Grove Ave","Chicago","IL","60637-2565",41.78282081,-87.60599388,"Federally Qualified Health Center"
"77","Aunt Martha&#39;s Community Health Center in Humboldt Park","1044 N Francisco Ave Ste 101","Chicago","IL","60622-2743",41.90016217,-87.69933044,"Federally Qualified Health Center"
"78","ACCESS Southwest Family Health Center","4839 W 47th St","Chicago","IL","60638-2039",41.80757248,-87.74475603,"Federally Qualified Health Center"
"79","HARDIN COUNTY MEDICAL CLINIC","IL-146","Elizabethtown","IL","62931",37.46509337,-88.29214664,"Federally Qualified Health Center"
"80","SIHF Healthcare, 3 St. Elizabeth’s Boulevard, Suite 4000, O’Fallon, IL 62269","3 Saint Elizabeth Blvd Ste 4000","O Fallon","IL","62269-1284",38.584118,-89.93119199,"Federally Qualified Health Center"
"81","Albion Community Health Center","33 W Main St","Albion","IL","62806-1006",38.37692657,-88.05817261,"Federally Qualified Health Center"
"82","Seneca Health Center and Dental Clinic","450 Dundee Ave","Elgin","IL","60120-4205",42.04485607,-88.27742237,"Federally Qualified Health Center"
"83","ACCESS Paul and Mimi Francis Westside Family Health Center","3752 W 16th St","Chicago","IL","60623-2028",41.85895745,-87.71972197,"Federally Qualified Health Center"
"84","Gillespie Community Unit School District #7","510 W Elm St","Gillespie","IL","62033-1167",39.127742,-89.82730903,"Federally Qualified Health Center"
"85","Trilogy Heartland Healthcare Home","1400 W Greenleaf Ave","Chicago","IL","60626-2805",42.01042578,-87.66630837,"Federally Qualified Health Center"
"86","VNA Health Center - Ecker Center for Mental Health","1845 Grandstand Pl","Elgin","IL","60123-6603",42.03411869,-88.32245733,"Federally Qualified Health Center"
"87","Grand Avenue Health Center","3010 Grand Ave","Waukegan","IL","60085-2321",42.37126679,-87.87594304,"Federally Qualified Health Center"
"88","CAIRO MEGA CLINIC","13245 Kessler Rd","Cairo","IL","62914-3101",37.04074374,-89.19697676,"Federally Qualified Health Center"
"89","Shawnee Health Care, Carterville","1006 S Division St","Carterville","IL","62918-1539",37.75055998,-89.07712517,"Federally Qualified Health Center"
"90","Howard Brown Health at TPAN","5537 N Broadway St","Chicago","IL","60640-1405",41.98282919,-87.66002178,"Federally Qualified Health Center"
"91","CHP Harvard Dental Clinic","62 N Ayer St","Harvard","IL","60033-2870",42.42139363,-88.61439114,"Federally Qualified Health Center"
"92","PCC Melrose Park Family Health Center","1111 Superior St Ste 101","Melrose Park","IL","60160-4100",41.8924916,-87.84778815,"Federally Qualified Health Center"
"93","LCHC Belle Whaley","3812 W Ogden Ave","Chicago","IL","60623-2458",41.85277642,-87.72048447,"Federally Qualified Health Center"
"94","VNA Health Center - Aurora Highland","400 N Highland Ave","Aurora","IL","60506-3814",41.76597398,-88.32909748,"Federally Qualified Health Center"
"95","ACCESS Centro Médico San Rafael","3204 W 26th St","Chicago","IL","60623-4031",41.84455,-87.70542404,"Federally Qualified Health Center"
"96","IMAN - Youth and Family Health Center","2749 W 63rd St","Chicago","IL","60629-2342",41.77910247,-87.69292402,"Federally Qualified Health Center"
"97","Hamdard-Addison","228 E Lake St","Addison","IL","60101-2889",41.93040492,-87.98293837,"Federally Qualified Health Center"
"98","Alivio's Walk In Wellness Center at Berwyn","6447 Cermak Rd Ste 100","Berwyn","IL","60402-2311",41.85059252,-87.785607,"Federally Qualified Health Center"
"99","PCC Walk-In Wellness Center at West Suburban Medical Center","3 Erie Ct Ste 1300","Oak Park","IL","60302-2519",41.89150414,-87.77623475,"Federally Qualified Health Center"
"100","Temporary Site-Howard Brown Health at Project Vida","2659 S Kedvale Ave","Chicago","IL","60623-4322",41.84249074,-87.72812441,"Federally Qualified Health Center"
"101","PULASKI CLINIC","100 Market St","Pulaski","IL","62976",37.21284196,-89.20728298,"Federally Qualified Health Center"
"102","Sunnyside Health Center","4501 N Sheridan Rd","Chicago","IL","60640-5608",41.96378501,-87.65425403,"Federally Qualified Health Center"
"103","Tomcat Health Center","500 Tomcat Ln","Aurora","IL","60505-5006",41.74506825,-88.29769803,"Federally Qualified Health Center"
"104","2001 STATE STREET CENTER","2001 State St","East Saint Louis","IL","62205-1803",38.61817803,-90.13267442,"Federally Qualified Health Center"
"105","VIENNA MEDICAL CLINIC","803 N 1st St","Vienna","IL","62995-1544",37.4232269,-88.89304838,"Federally Qualified Health Center"
"106","UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER ENGLEWOOD","641 W 63rd St","Chicago","IL","60621-2032",41.77978476,-87.64144187,"Federally Qualified Health Center"
"107","LCHC at Salvation Army Freedom Center","825 N Christiana Ave Rm 042","Chicago","IL","60651-4110",41.89705735,-87.70994507,"Federally Qualified Health Center"
"108","Chicago Family Health Center - Roseland","120 W 111th St","Chicago","IL","60628-4215",41.69255748,-87.62677496,"Federally Qualified Health Center"
"109","Howard Brown Health 55th Street","1525 E 55th St Ste 201","Chicago","IL","60615-5582",41.79512319,-87.58800701,"Federally Qualified Health Center"
"110","Temporary Site - Wood River Testing Site","230 N Old Saint Louis Rd","Wood River","IL","62095-1437",38.86536714,-90.10351118,"Federally Qualified Health Center"
"111","UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center","3050 W 39th Pl","Chicago","IL","60632-2402",41.82180651,-87.7016324,"Federally Qualified Health Center"
"112","Family Christian Health Center MCHC","15620 Wood St","Harvey","IL","60426-4171",41.60518699,-87.66080742,"Federally Qualified Health Center"
"113","VNA Health Center - Elgin Villa","801 Villa St","Elgin","IL","60120-8001",42.02793372,-88.25996094,"Federally Qualified Health Center"
"114","LCHC at Habilitative Systems","415 S Kilpatrick Ave","Chicago","IL","60644-4923",41.87458069,-87.74258126,"Federally Qualified Health Center"
"115","Outpatient Substance Abuse Program","3004 Grand Ave","Waukegan","IL","60085-2321",42.37321684,-87.87658359,"Federally Qualified Health Center"
"116","AHS Family Health Center Niles","8321 W Golf Rd","Niles","IL","60714-1113",42.05467908,-87.83396614,"Federally Qualified Health Center"
"117","COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS","112 E Main St","Princeville","IL","61559-7510",40.93021391,-89.75689274,"Federally Qualified Health Center"
"118","Howard Brown Health at Thresholds South","734 W 47th St","Chicago","IL","60609-4411",41.80889926,-87.64459019,"Federally Qualified Health Center"
"119","Howard Brown Health at La Casa Norte","3533 W North Ave Ste 1","Chicago","IL","60647-7573",41.90998526,-87.71577074,"Federally Qualified Health Center"
"120","Mattoon Medical Center - SIHF","700 Broadway Ave E Ste 39","Mattoon","IL","61938-4662",39.48501034,-88.32611859,"Federally Qualified Health Center"
"121","Center for Family Health - Sycamore","165 E Plank Rd","Sycamore","IL","60178-8757",42.01545747,-88.67428998,"Federally Qualified Health Center"
"122","Quincy Housing Authority","540 Harrison St","Quincy","IL","62301-7236",39.91349978,-91.40717356,"Federally Qualified Health Center"
"123","Howard Brown Health 63rd Street","641 W 63rd St","Chicago","IL","60621-2032",41.77978476,-87.64144187,"Federally Qualified Health Center"
"124","Heartland Health Center-Sullivan","6631 N Bosworth Ave","Chicago","IL","60626-4223",42.00279191,-87.66926685,"Federally Qualified Health Center"
"125","Community Health Partnership of Illinois","62 N Ayer St Ste A","Harvard","IL","60033-2871",42.42139363,-88.61439114,"Federally Qualified Health Center"
"126","SIU Center for Family Medicine-Sangamon County Health","2833 South Grand Ave E Ste 100","Springfield","IL","62703-2175",39.78886,-89.612421,"Federally Qualified Health Center"
"127","SIU Center for Family Medicine-Adams County Dental Clinic","330 Vermont St Ste 100","Quincy","IL","62301-2700",39.93409399,-91.41025701,"Federally Qualified Health Center"
"128","Shawnee Health Care, Carbondale Dental","402 S Lewis Ln","Carbondale","IL","62901-3547",37.72338677,-89.19941732,"Federally Qualified Health Center"
"129","Rea Clinic - Benton","206 E Church St Ste B","Benton","IL","62812-2239",37.995748,-88.91947177,"Federally Qualified Health Center"
"130","LCHC at Bobby E. Wright","9 S Kedzie Ave","Chicago","IL","60612-2705",41.88070237,-87.70607514,"Federally Qualified Health Center"
"131","St. John's Dental Clinic","700 N 7th St","Springfield","IL","62702-6352",39.80870198,-89.64582699,"Federally Qualified Health Center"
"132","Rosecrance Ware Center","2704 N Main St","Rockford","IL","61103-3112",42.30194099,-89.07714755,"Federally Qualified Health Center"
"133","Preferred Family Healthcare","428 S 36th St","Quincy","IL","62301-5924",39.92634115,-91.35846397,"Federally Qualified Health Center"
"134","Crusader Clinic on West State Street","1200 W State St","Rockford","IL","61102-2112",42.27573329,-89.10811583,"Federally Qualified Health Center"
"135","Champaign Urbana Public Health District Mobile Clinic Unit W Kenyon","201 W Kenyon Rd","Champaign","IL","61820-7892",40.13439612,-88.24658728,"Federally Qualified Health Center"
"136","Howard Brown Health Center-Clark","6500 N Clark St","Chicago","IL","60626-4097",42.00005023,-87.6712791,"Federally Qualified Health Center"
"137","BELLEVILLE PED & ADOL HEALTH CTR","2900 Frank Scott Pkwy W Ste 950","Belleville","IL","62223-5010",38.53809301,-90.03539103,"Federally Qualified Health Center"
"138","LCHC Health & Fitness - 3750","3750 W Ogden Ave","Chicago","IL","60623-2426",41.85330408,-87.71908055,"Federally Qualified Health Center"
"139","Shawnee Health Care, Same Day","404 S Lewis Ln","Carbondale","IL","62901-3547",37.72336888,-89.19941752,"Federally Qualified Health Center"
"140","Erie Humboldt Park Health Center","2750 W North Ave","Chicago","IL","60647-5247",41.91024296,-87.69671809,"Federally Qualified Health Center"
"141","Zion Health Center","1911 27th St","Zion","IL","60099-2542",42.44570199,-87.83810763,"Federally Qualified Health Center"
"142","Will County Community Health Center - East","5601 W Monee Manhattan Rd Ste 109","Monee","IL","60449-8864",41.42699251,-87.749195,"Federally Qualified Health Center"
"143","Cedar Court Clinic","1340 Cedar Ct","Carbondale","IL","62901-5336",37.74046113,-89.25348536,"Federally Qualified Health Center"
"144","Terrier Care","1301 E Walnut St Rm J120","Carbondale","IL","62901-5004",37.72678758,-89.18958234,"Federally Qualified Health Center"
"145","Anne M Jeans Elementary School","16W631 91st St Ste 113","Willowbrook","IL","60527-6126",41.72311781,-87.94940464,"Federally Qualified Health Center"
"146","Streamwood Community Health Center","135 E Irving Park Rd","Streamwood","IL","60107-2950",42.01271445,-88.17872253,"Federally Qualified Health Center"
"147","Carbondale Middle School Health Center","1150 E Grand Ave Rm 127","Carbondale","IL","62901-3422",37.71774598,-89.19651326,"Federally Qualified Health Center"
"148","Marion Wellness","1700 Wildcat Dr Ste A","Marion","IL","62959-1513",37.71491247,-88.94480752,"Federally Qualified Health Center"
"149","VNA Health Center - Joliet","2400 Glenwood Ave Ste 210","Joliet","IL","60435-5498",41.52941781,-88.14171291,"Federally Qualified Health Center"
"150","Heartland Community Health Clinic  DBA: Heartland Health Services - East Bluff","2321 N Wisconsin Ave","Peoria","IL","61603-5613",40.71601789,-89.58425035,"Federally Qualified Health Center"
"151","Bunker Hill Health Center","144 N Washington St","Bunker Hill","IL","62014-1048",39.04332463,-89.95160689,"Federally Qualified Health Center"
"152","SIU Center for Family Medicine-Lincoln","109 3rd St","Lincoln","IL","62656-2604",40.14516251,-89.36903803,"Federally Qualified Health Center"
"153","Heartland Health Center - Uplift Community High School","900 W Wilson Ave","Chicago","IL","60640-5707",41.96554708,-87.65247701,"Federally Qualified Health Center"
"154","Aunt Martha's Chicago Heights Pediatric Health and Wellness Center","500 Dixie Hwy","Chicago Heights","IL","60411-1741",41.52232005,-87.65134552,"Federally Qualified Health Center"
"155","SIHF Healthcare - Arthur","1710 IL-133","Arthur","IL","61911-6016",39.71009748,-88.48941009,"Federally Qualified Health Center"
"156","Esperanza Marquette","6550 S Richmond St","Chicago","IL","60629-2821",41.77423246,-87.69693878,"Federally Qualified Health Center"
"157","Chestnut Family Health Center","720 W Chestnut St","Bloomington","IL","61701-2814",40.48544276,-89.00158796,"Federally Qualified Health Center"
"158","Hazel Crest Women's Health Center","17850 Kedzie Ave Ste 3200","Hazel Crest","IL","60429-2086",41.56540698,-87.69677601,"Federally Qualified Health Center"
"159","PCC Austin Family Health Center","5425 W Lake St","Chicago","IL","60644-2342",41.88727248,-87.76152202,"Federally Qualified Health Center"
"160","BEDS Plus","9601 E Ogden Ave","La Grange","IL","60525-3137",41.81730776,-87.86002093,"Federally Qualified Health Center"
"161","TCA Health- Chatham","8425 S Cottage Grove Ave","Chicago","IL","60619-6113",41.74134757,-87.60493591,"Federally Qualified Health Center"
"162","VNA Health Center - Aurora Indian","1400 Indian Ave","Aurora","IL","60505-3137",41.76631514,-88.28152147,"Federally Qualified Health Center"
"163","CHRISTIAN COMMUNITY HEALTH CTR","901 E Sibley Blvd","South Holland","IL","60473-1166",41.62254252,-87.59511702,"Federally Qualified Health Center"
"164","Heartland Health Center - Roosevelt High School","3436 W Wilson Ave","Chicago","IL","60625-5318",41.96480521,-87.71516255,"Federally Qualified Health Center"
"165","ACCESS Rogers Park Family Health Center","1555 W Howard St","Chicago","IL","60626-1707",42.01933129,-87.67036128,"Federally Qualified Health Center"
"166","HEARTLAND HEALTH CENTER - SENN HIGH SCHOOL","5900 N Glenwood Ave","Chicago","IL","60660-3312",41.98910825,-87.66515612,"Federally Qualified Health Center"
"167","Shawnee Health Care, Murphysboro","7 S Hospital Dr","Murphysboro","IL","62966-3333",37.77308047,-89.32466712,"Federally Qualified Health Center"
"168","Temporary Site- Curb-Side Care","PO BOX 81","Oquawka","IL","61469-0081",40.93717998,-90.94895,"Federally Qualified Health Center"
"169","Shawnee Health Care, Marion","3111 Williamson County Pkwy","Marion","IL","62959-5235",37.75125278,-88.98006533,"Federally Qualified Health Center"
"170","SIU Quincy/Adams County Health Wellness Express","330 Vermont St Ste 211","Quincy","IL","62301-2700",39.93409399,-91.41025701,"Federally Qualified Health Center"
"171","McKinley Health Center","2166 Madison Ave","Granite City","IL","62040-4700",38.70233648,-90.14306177,"Federally Qualified Health Center"
"172","PrimeCare Wicker Park","1127 N Oakley Blvd","Chicago","IL","60622-3507",41.90201677,-87.68448849,"Federally Qualified Health Center"
"173","UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER AT BACK OF THE YARDS","4630 S Bishop St","Chicago","IL","60609-3240",41.80951055,-87.66135534,"Federally Qualified Health Center"
"174","Heartland Health Center-Thresholds","4423 N Ravenswood Ave","Chicago","IL","60640-5802",41.96238259,-87.67400279,"Federally Qualified Health Center"
"175","PCC Community Wellness Center at West Suburban","1 Erie Ct Ste 7120","Oak Park","IL","60302-2510",41.89178253,-87.77551804,"Federally Qualified Health Center"
"176","HARRISBURG COMMUNITY HTLH CENTER","205 N Main St","Harrisburg","IL","62946-1256",37.73977001,-88.54034722,"Federally Qualified Health Center"
"177","WILL COUNTY COMMUNITY HEALTH CENTER","1106 Neal Ave","Joliet","IL","60433-2548",41.50381483,-88.06879211,"Federally Qualified Health Center"
"178","Family Christian Health Center","713 E 142nd St","Dolton","IL","60419-1062",41.6371391,-87.6020688,"Federally Qualified Health Center"
"179","Heartland Health Center - Devon","1300 W Devon Ave","Chicago","IL","60660-1302",41.99816749,-87.66329701,"Federally Qualified Health Center"
"180","Capitol Community Health Center","2239 E Cook St","Springfield","IL","62703-1944",39.79470751,-89.62245095,"Federally Qualified Health Center"
"181","Randall Health Center","1435 N Randall Rd Ste 408","Elgin","IL","60123-2305",42.07042,-88.33173199,"Federally Qualified Health Center"
"182","Goreville Clinic","400 S Broadway","Goreville","IL","62939-2484",37.55168654,-88.97210053,"Federally Qualified Health Center"
"183","WEST SUBURBAN MEDICAL CENTER","3 Erie Ct","Oak Park","IL","60302-2519",41.89150414,-87.77623475,"Federally Qualified Health Center"
"184","PrimeCare Belmont Cragin","5635 W Belmont Ave","Chicago","IL","60634-4384",41.93852078,-87.76791951,"Federally Qualified Health Center"
"185","Cairo Diagnostic Center Site","13289 Kessler Rd","Cairo","IL","62914-3101",37.0407395,-89.19810211,"Federally Qualified Health Center"
"186","Chicago Heights Community Health Center","1536 Vincennes Ave","Chicago Heights","IL","60411-3458",41.50290847,-87.63814215,"Federally Qualified Health Center"
"187","Temporary Site - TCA Health - Worth Executive Building","7000 W 111th St Ste 100","Worth","IL","60482-1851",41.69012182,-87.79273136,"Federally Qualified Health Center"
"188","Cass County Health Department - Cass County Health Clinic","331 S Main St","Virginia","IL","62691-1571",39.94764896,-90.21240502,"Federally Qualified Health Center"
"189","Wood River Covid-19 Testing Site","230 N Old Saint Louis Rd","Wood River","IL","62095-1437",38.86536714,-90.10351118,"Federally Qualified Health Center"
"190","Quincy Senior and Family Resource Center","639 York St","Quincy","IL","62301-3963",39.92937976,-91.40515913,"Federally Qualified Health Center"
"191","CHC/SEIA HAMILTON CLINIC","951 Broadway St","Hamilton","IL","62341-1436",40.39318017,-91.34603271,"Federally Qualified Health Center"
"192","Temporary Site - Constance Morris House",NA,"La Grange","IL",NA,41.81399,-87.86958999,"Federally Qualified Health Center"
