Data from MMG 2020 are NOT directly comparable to data from any prior MMG study due to methodological changes made in 2020.,,,,,,
FIPS,State,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,2018 Child food insecurity rate,# of Food Insecure Children in 2018
17131,IL,"Mercer County, Illinois",9.80%,"1,540",15.60%, 530 
17133,IL,"Monroe County, Illinois",5.90%,"1,990",7.80%, 600 
17135,IL,"Montgomery County, Illinois",12.10%,"3,500",20.20%," 1,160 "
17137,IL,"Morgan County, Illinois",11.80%,"4,050",17.70%," 1,160 "
17139,IL,"Moultrie County, Illinois",8.30%,"1,220",12.50%, 460 
17141,IL,"Ogle County, Illinois",9.10%,"4,660",13.20%," 1,540 "
17143,IL,"Peoria County, Illinois",12.00%,"22,100",16.30%," 7,180 "
17145,IL,"Perry County, Illinois",13.30%,"2,850",20.10%, 820 
17147,IL,"Piatt County, Illinois",7.60%,"1,250",11.10%, 410 
17149,IL,"Pike County, Illinois",11.30%,"1,790",16.00%, 570 
17151,IL,"Pope County, Illinois",13.50%,570,21.50%, 130 
17153,IL,"Pulaski County, Illinois",16.70%,940,25.90%, 310 
17155,IL,"Putnam County, Illinois",8.50%,490,14.80%, 170 
17157,IL,"Randolph County, Illinois",10.70%,"3,490",16.00%," 1,010 "
17159,IL,"Richland County, Illinois",12.20%,"1,940",16.30%, 590 
17161,IL,"Rock Island County, Illinois",11.20%,"16,200",16.40%," 5,350 "
17163,IL,"St. Clair County, Illinois",12.20%,"32,270",17.10%," 10,700 "
17165,IL,"Saline County, Illinois",16.30%,"3,960",24.30%," 1,280 "
17167,IL,"Sangamon County, Illinois",11.40%,"22,480",16.70%," 7,470 "
17169,IL,"Schuyler County, Illinois",14.60%,"1,030",16.30%, 220 
17171,IL,"Scott County, Illinois",10.30%,520,16.00%, 180 
17173,IL,"Shelby County, Illinois",9.50%,"2,080",13.20%, 620 
17175,IL,"Stark County, Illinois",11.70%,650,20.30%, 240 
17177,IL,"Stephenson County, Illinois",11.60%,"5,270",16.80%," 1,650 "
17179,IL,"Tazewell County, Illinois",8.70%,"11,620",12.70%," 3,900 "
17181,IL,"Union County, Illinois",13.70%,"2,340",20.10%, 720 
17183,IL,"Vermilion County, Illinois",13.80%,"10,840",21.00%," 3,920 "
17185,IL,"Wabash County, Illinois",10.90%,"1,270",15.50%, 400 
17187,IL,"Warren County, Illinois",9.70%,"1,690",13.50%, 520 
17189,IL,"Washington County, Illinois",7.70%,"1,100",10.50%, 320 
17191,IL,"Wayne County, Illinois",12.40%,"2,050",19.40%, 730 
17193,IL,"White County, Illinois",11.60%,"1,630",17.30%, 530 
17195,IL,"Whiteside County, Illinois",9.40%,"5,330",13.60%," 1,710 "
17197,IL,"Will County, Illinois",6.10%,"42,120",8.10%," 14,410 "
17199,IL,"Williamson County, Illinois",12.50%,"8,440",18.10%," 2,670 "
17201,IL,"Winnebago County, Illinois",12.00%,"34,290",17.40%," 11,790 "
17203,IL,"Woodford County, Illinois",7.30%,"2,820",10.60%," 1,020 "
17,IL,Illinois,10.10%,"1,283,550",12.7%,"363,900"
